Country;Region;v2x_polyarchy;v2x_regime;"""Freedom on the Net 2019"" Status";"""Freedom on the Net 2019"" Total Score";Military Expenditures (USD) 2018;Military Expenditures Ranking (2018); BRI Member?;China ODI Rank (EIU);Safe City System;Facial Recognition System;Smart Policing;Social Media Surveillance;China Tech?;US Tech?;Other Countries;Company 1;Company 2;Company 3;Company 4;Company 5;;;;;;;;;;;;;;;;
Algeria;MENA;0,305;EA;;;9583,7;25;1;56;;;x;;1;;UK;Huawei;BAE;;;;;;;;;;;;;;;;;;;
Argentina;WHA;0,819;ED;FREE;72;4145,0;43;;51;;x;x;x;1;1;Sweden, Germany, Japan;Huawei;ZTE;NEC;Bosch;Oracle;;;;;;;;;;;;;;;;
Australia;EAP;0,864;LD;FREE;77;26711,8;13;;5;x;x;x;x;1;1;Japan, Australia;Palantir;NEC;CrowdOptic;iOmniscient;Hikvision;Dahua;Genetec;;;;;;;;;;;;;;
Bahrain;MENA;0,125;CA;NOT FREE;29;1396,8;65;1;;;x;x;x;;1;Australia, Bahrain;iOmnicient;Pelco;LSS;;;;;;;;;;;;;;;;;;
Bangladesh;SCA;0,341;EA;PARTLY FREE;44;3894,7;44;1;;x;x;x;x;1;1;;Huawei;Snaptrends;;;;;;;;;;;;;;;;;;;
Bolivia;WHA;0,641;ED;;;618,8;79;1;;x;x;x;;1;;;Huawei;ZTE;CEIEC;;;;;;;;;;;;;;;;;;
Botswana;AF;0,697;ED;;;529,5;86;;;x;;x;;1;;;Huawei;;;;;;;;;;;;;;;;;;;;
Brazil;WHA;0,742;ED;PARTLY FREE;64;27766,4;12;;52;x;x;x;x;1;1;Israel;IBM;Dahua;Verint;;;;;;;;;;;;;;;;;;
Burma/Myanmar;EAP;0,36;EA;NOT FREE;36;2030,5;58;1;;x;x;;;1;;;Huawei;Hikvision;;;;;;;;;;;;;;;;;;;
Cambodia;EAP;0,254;EA;PARTLY FREE;43;543,2;84;1;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;
Canada;WHA;0,85;LD;FREE;87;21620,6;14;;8;;x;x;x;;1;;Avigilon;Palantir;Salesforce;;;;;;;;;;;;;;;;;;
Chile;WHA;0,852;ED;;;5570,7;34;1;9;;x;x;;1;;;Huawei;;;;;;;;;;;;;;;;;;;;
China;EAP;0,09;CA;NOT FREE;10;249996,9;2;1;;x;x;x;x;1;1;Israel, UK, Sweden, Germany, Japan;Mult;Meiya Pico;Semptian;Knowlesys;Megvii;SenseTime;Huawei, ZTE, Hikvision, Dahua, Face++, iFlytek, Yitu, CEIEC, and Yixin ;;;;;;;;;;;;;;
Colombia;WHA;0,664;ED;PARTLY FREE;67;10602,9;24;;55;x;x;x;;;;Japan;NEC;;;;;;;;;;;;;;;;;;;;
Czech Republic;EUR;0,822;LD;;;2710,0;53;1;16;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;
Denmark;EUR;0,888;LD;;;4228,2;42;;17;x;x;x;;1;1;Australia, Denmark;Palantir;BrainChip;Hikvision;Leapcraft;Cisco;;;;;;;;;;;;;;;;
Ecuador;WHA;0,673;ED;PARTLY FREE;61;2549,4;55;1;57;x;x;x;;1;;;Huawei;CEIEC;;;;;;;;;;;;;;;;;;;
